사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Apr-23,중앙선,1201,중랑,131,7,"6,404",562,"9,719","1,983","23,882","3,157","21,839","6,372","16,236","5,901","10,114","4,769","9,396","5,045","9,635","6,404","9,226","7,071","7,829","7,300","7,135","10,207","7,500","12,564","7,357","16,048","7,452","21,954","5,258","17,071","3,937","11,378","2,941","8,871","2,222","9,324","1,042","5,079",26,445,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1202,상봉(시외버스터미널),569,18,"6,150",737,"9,111","2,386","22,531","4,968","25,192","7,705","14,798","6,384","10,079","4,936","8,349","6,308","10,186","6,969","8,554","7,463","7,735","8,179","7,680","9,739","7,887","11,381","8,560","15,077","9,575","23,820","6,197","20,374","4,988","11,875","4,596","9,531","3,032","9,919","1,490","5,823",85,"1,128",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1203,망우,326,7,"8,143",939,"12,707","3,123","32,079","5,923","26,937","14,349","18,098","10,469","13,627","10,110","12,722","10,066","13,724","10,015","13,107","11,852","12,145","12,294","12,141","13,691","13,330","18,015","13,284","21,062","13,640","29,449","9,215","21,305","6,243","14,109","4,852","9,906","3,400","9,659","1,425","6,407",24,646,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1204,양원,72,2,"2,662",248,"4,567","1,680","13,993","8,657","11,138","6,214","7,249","2,707","5,057","3,114","4,191","2,947","4,736","2,789","4,347","3,890","3,698","3,267","5,215","4,287","8,004","5,459","5,216","6,496","3,907","9,507","2,365","9,397","1,560","5,809","1,404","3,887",932,"4,443",375,"2,844",4,202,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1205,구리,"1,010",10,"9,921","1,946","21,921","6,865","60,058","9,195","52,354","19,783","31,025","16,180","22,316","14,220","20,735","12,998","20,811","14,962","18,824","17,657","17,348","17,173","18,270","22,613","20,034","27,961","21,373","35,932","20,345","52,797","12,901","48,353","11,827","26,708","7,800","21,833","6,342","20,359","2,036","14,542",41,"1,979",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1206,도농,892,3,"8,539","1,216","24,004","4,673","63,952","8,818","44,277","15,707","30,516","8,567","20,936","7,584","17,706","8,238","16,606","9,708","14,173","11,452","12,349","12,739","11,892","16,827","15,441","20,962","17,682","29,554","14,597","42,688","7,654","38,420","5,846","22,569","4,603","18,234","3,285","16,130","1,050","12,063",31,"2,431",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1207,양정,91,0,287,142,779,931,"1,652","1,694","1,469","2,401",909,"1,533",861,"1,226",993,859,"1,024",928,"1,186",752,"1,424",762,"1,577",738,"1,939",854,"2,358","1,051","2,253","1,172",885,819,394,436,356,443,154,337,66,262,2,98,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1208,덕소,"1,381",3,"3,014",856,"10,149","1,904","25,511","4,037","21,125","7,356","14,252","5,950","11,665","5,515","9,816","5,070","9,149","6,515","8,568","7,480","7,521","7,457","7,767","10,100","8,010","12,600","8,234","17,054","6,964","19,439","4,773","17,625","3,372","9,572","2,605","10,445","2,197","8,734",878,"7,081",3,"1,707",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1209,도심,0,0,"1,516",466,"5,638","1,137","13,518","1,709","9,223","6,429","6,230","2,012","4,301","1,884","3,508","1,707","3,939","1,991","3,087","2,342","2,884","1,822","2,706","3,670","4,001","2,656","3,405","6,344","3,335","5,264","1,534","6,199","1,042","3,365",947,"3,058",755,"3,489",216,"2,060",0,1,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1210,팔당,0,0,218,46,671,596,"1,645","1,733","1,371","3,420","1,364","4,400","1,513","3,806","1,397","3,091","1,519","2,825","1,817","1,860","2,433","1,950","2,910","2,197","3,691","1,975","3,586","1,979","3,226","2,020","2,208","1,195","1,679",836,"1,328",508,729,533,164,200,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1211,운길산,0,0,188,74,651,592,"1,538",827,"2,058","1,794","1,187","4,164",995,"4,908","1,226","4,061","1,513","2,826","2,135","1,873","3,259","2,027","4,695","1,462","4,293","1,402","3,677","1,248","2,405","1,168","1,231","1,330",733,594,323,588,147,553,35,376,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1212,양수,0,0,922,219,"2,115","1,271","6,744","2,517","4,905","4,202","4,780","4,912","3,124","5,144","3,508","4,665","3,793","4,240","4,306","4,088","4,540","3,858","6,476","3,365","6,494","4,027","5,845","4,836","4,354","4,420","2,169","4,521","1,792","3,308","1,150","2,647",524,"2,438",172,"1,625",0,3,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1213,신원,0,0,179,6,177,200,468,615,327,526,430,873,398,959,371,652,471,484,604,347,748,314,"1,137",302,"1,029",284,779,358,"1,010",400,232,224,129,196,68,213,26,156,4,90,1,15,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1214,국수,4,0,577,53,"1,179",296,"2,618",751,"2,134","2,167","2,036","1,466","1,415","1,757","1,283","1,650","1,453","1,526","1,459","1,272","1,492",963,"2,792","1,533","2,613","1,482","1,508","1,826","1,043","1,767",591,"1,496",364,"1,435",331,"1,388",134,949,21,561,1,92,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1215,아신,1,0,571,43,882,188,"1,903",644,"1,655","1,423","1,479","1,143","1,530","1,431","1,100","1,654","1,139","1,277","1,183",979,"1,261",960,"1,605","1,236","1,834","1,422","1,537","1,879","1,184","1,470",912,"1,147",453,980,280,"1,241",217,713,33,740,2,103,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1216,오빈,4,0,186,16,562,282,788,364,"1,095",920,812,579,811,711,563,607,644,574,625,523,616,414,690,686,730,753,800,"1,056",626,814,335,532,202,406,119,533,113,356,13,294,0,47,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1217,양평,83,2,"1,774",103,"3,403","2,059","8,532","3,988","6,854","8,205","5,544","5,164","6,540","6,420","5,339","8,395","6,224","8,622","7,246","5,117","7,688","6,005","7,782","6,523","8,883","6,714","7,567","9,007","6,685","7,207","4,158","5,235","3,376","5,674","2,578","3,361","1,936","2,836",230,"3,350",81,851,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1218,원덕,88,0,321,2,623,103,899,452,"1,184",837,"1,026","1,042","1,096","1,869",808,"1,412",862,"1,138","1,014",533,"1,397",855,"1,523",810,"1,893",772,"1,141","1,128",902,927,486,673,192,532,105,627,22,329,2,307,2,87,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1219,용문,378,2,795,4,"2,313",626,"3,949","2,898","4,837","4,427","3,545","3,629","3,814","4,366","3,840","12,458","5,165","8,678","6,847","5,570","8,384","5,145","9,720","3,202","8,876","5,002","6,766","4,954","3,710","3,648","2,280","3,141","1,060","3,322",781,"1,956",282,"1,675",0,"1,424",0,644,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,중앙선,1220,지평,0,0,0,0,1,0,353,324,249,182,2,1,410,653,0,0,3,0,99,149,543,357,0,0,2,1,180,150,47,128,235,318,0,0,15,124,9,77,0,0,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1401,봉명,40,1,"1,337",473,"1,635",719,"2,439","3,479","2,800","4,170","2,379","3,409","2,820","2,303","2,739","1,577","2,506","1,809","2,327","2,196","2,265","2,030","2,590","1,892","2,999","1,676","3,436","2,843","1,891","2,726","1,050","1,644","1,037","1,314",735,"1,030",648,"1,019",620,804,7,201,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1402,쌍용(나사렛대),28,0,"2,617",289,"4,324",621,"7,449","1,708","8,783","8,148","4,490","5,823","4,912","4,147","4,866","4,069","4,754","7,505","5,404","4,581","4,888","3,326","6,416","4,599","6,428","5,502","6,030","7,318","6,097","7,993","3,554","5,111","2,666","4,191","1,940","3,133","1,845","3,265",878,"2,827",38,543,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1403,아산,51,0,987,947,"2,685","3,842","7,101","6,077","9,057","10,593","5,265","8,775","5,928","8,701","6,588","6,359","7,775","7,562","8,174","8,071","8,825","5,794","10,992","7,070","9,772","7,350","10,509","9,696","13,744","10,579","10,355","6,556","6,274","5,681","7,443","3,616","6,252","2,996","3,752","1,668",55,403,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1404,탕정,74,0,893,147,"1,741",725,"4,160","1,922","4,174","2,911","2,330","1,366","2,421","1,442","2,130","1,613","2,289","1,826","2,252","1,995","2,586","1,519","2,978","1,689","2,805","3,114","3,047","3,801","2,973","3,880","1,833","2,976","1,109","2,443","1,105","1,983","1,059","1,663",559,"1,454",31,190,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1405,배방,77,1,"1,147",201,"2,022",660,"4,141","1,269","3,738","2,101","2,909","1,466","2,340","1,100","2,112","1,768","2,214","1,766","2,160","2,032","2,196","1,778","2,011","1,973","2,054","3,301","2,423","4,231","2,633","4,191","1,772","3,165","1,149","2,281","1,156","2,085",969,"1,621",601,"1,439",21,189,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1407,온양온천,708,2,"1,917",496,"4,356","2,693","10,085","6,293","12,146","8,749","9,876","9,502","9,498","10,150","9,885","14,281","11,105","11,562","12,812","10,845","12,385","7,446","11,838","8,715","10,888","10,275","8,224","12,556","10,243","10,396","4,681","8,775","3,441","6,024","2,862","5,958","1,933","4,246","1,058","3,085",23,794,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,장항선,1408,신창(순천향대),288,3,694,145,"1,294",643,"2,516","3,720","2,119","12,232","2,105","6,615","3,582","8,582","4,333","5,390","4,280","5,084","6,592","4,606","7,814","3,374","6,440","2,703","11,412","3,451","8,509","2,734","8,685","4,381","3,328","3,140","2,621","3,085","3,118","3,458","1,274","3,128",968,"2,123",8,629,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1252,신촌,0,0,199,8,308,"1,139",681,"4,558",590,"5,767",750,"5,317",657,"2,323",742,"1,291","1,115","1,708","1,050","2,501","1,128","1,272","1,675","1,063","2,372","1,092","4,315","1,611","3,947","2,075","2,504","1,121","1,220",742,"1,676",425,"1,326",181,599,405,10,73,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1261,효창공원앞,1,0,740,207,"2,115","2,290","5,446","6,541","8,195","18,148","5,669","10,142","3,667","4,758","3,626","4,122","4,167","3,907","4,712","4,065","4,436","3,687","5,109","4,102","6,588","4,677","8,303","5,880","14,885","8,144","5,723","6,382","4,099","4,146","3,691","4,278","2,867","3,570","1,171","2,860",54,319,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1263,서강대,11,0,546,105,"1,620","1,494","3,275","3,149","4,068","9,681","3,179","6,488","2,713","5,484","2,868","4,165","3,376","3,266","3,755","4,112","3,935","3,490","4,147","3,191","5,622","3,831","6,823","4,382","6,999","4,826","4,158","3,538","3,736","2,341","3,899","2,572","3,833","1,865","1,611","1,295",8,137,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1265,가좌,8,0,"3,100",179,"8,197","2,397","24,172","4,445","27,613","10,507","13,181","9,396","10,185","6,764","9,483","6,876","10,460","6,548","8,178","9,202","7,931","8,366","8,545","9,440","9,205","12,732","9,484","14,570","9,590","20,408","5,963","17,864","4,581","10,028","3,760","7,064","3,040","6,929","1,163","5,255",10,541,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1267,수색,9,1,"1,086",538,"1,963","6,343","3,536","5,463","4,635","18,199","3,774","9,619","2,710","3,881","2,773","2,606","2,917","2,630","2,962","3,493","3,122","2,635","3,695","3,163","6,860","3,481","10,088","4,714","12,790","4,344","5,819","3,182","3,166","2,264","2,434","1,611","1,786","1,684",770,"1,317",4,248,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1268,화전,0,0,684,453,"1,778","1,385","4,511","2,351","4,696","9,699","3,646","10,074","3,599","11,318","4,946","4,779","4,665","4,516","5,042","6,259","6,705","4,756","6,828","3,132","10,481","3,323","9,587","3,615","7,380","4,372","4,318","3,654","2,864","2,444","3,058","2,352","2,335","2,496","1,659","2,023",132,720,1,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1269,강매,0,0,"1,996",235,"6,895",895,"20,212","1,269","17,841","3,818","9,494","1,451","6,303","1,514","5,129","1,806","4,736","1,943","3,972","2,746","3,184","3,171","3,150","4,296","3,606","5,619","3,242","7,528","3,853","12,225","1,378","11,741",861,"7,149",755,"6,405",513,"5,812",224,"3,502",0,"1,373",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1270,행신,2,0,"3,974","1,607","14,155","5,097","39,972","6,601","33,681","10,709","17,978","7,734","13,539","5,770","13,221","8,120","11,682","8,214","9,775","9,980","8,551","9,079","7,743","10,800","11,998","16,090","14,183","21,458","10,370","38,837","7,427","30,053","8,685","15,255","6,302","14,228","6,361","12,392","2,696","7,200",96,"2,966",1,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1271,능곡,0,0,"3,307",443,"8,677","1,955","18,171","2,887","17,296","6,722","10,366","3,951","7,552","3,833","6,878","3,947","6,438","4,347","5,997","4,595","5,360","4,884","5,288","5,739","5,887","7,634","6,150","9,355","5,692","13,677","3,468","11,508","2,385","6,985","2,116","7,191","1,239","6,285",596,"4,052",41,"2,830",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1272,곡산,1,0,256,121,"1,133",555,"1,795","1,396","1,699","2,750","1,122","1,112",912,865,812,848,783,849,892,710,985,825,"1,032",828,"1,223","1,021","1,940","1,227","2,221","1,877",648,"1,357",461,847,383,782,259,618,67,444,4,52,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1273,백마,9,0,"4,514",880,"16,025","3,112","35,669","5,599","27,416","10,951","15,973","6,025","11,965","4,821","10,840","4,392","10,282","6,390","9,349","7,434","7,701","7,557","8,666","9,623","9,376","11,129","10,256","14,925","10,591","27,571","4,950","24,852","3,741","14,013","3,351","13,097","3,064","11,357",965,"10,003",59,756,1,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1274,풍산,22,0,"4,086",351,"10,523","2,205","24,362","4,193","20,526","8,363","13,876","5,903","9,863","5,208","9,350","6,409","9,080","6,631","8,493","7,624","8,089","6,890","8,684","7,967","9,274","10,369","9,468","13,994","8,572","19,768","5,328","17,170","4,547","12,196","4,405","10,669","2,610","8,610",810,"7,059",103,834,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1275,일산,29,0,"7,951",739,"24,375","2,772","49,296","7,565","36,171","19,090","23,326","7,999","16,148","7,489","15,766","8,653","15,002","9,714","13,699","11,819","12,496","12,809","13,836","14,149","15,189","18,386","15,213","24,651","13,110","36,579","7,121","37,263","5,303","18,112","4,390","18,706","3,912","16,336","1,148","9,905",105,"3,362",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1276,탄현,42,0,"6,337",590,"22,290","3,029","37,606","6,144","31,286","10,111","18,049","6,208","13,136","4,491","12,199","5,429","11,389","6,214","10,269","7,032","9,113","9,478","10,065","10,813","10,774","13,446","10,582","20,544","10,864","29,924","6,322","32,151","4,724","16,114","3,929","15,345","3,233","12,421","1,302","7,986",141,"2,685",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1277,야당,27,2,"5,102",391,"17,703","2,853","32,655","5,232","31,232","9,516","16,315","7,534","13,253","6,210","11,475","7,830","11,900","8,817","10,820","9,817","10,125","11,703","10,412","14,485","11,759","17,860","12,403","27,472","11,458","34,860","8,407","32,492","8,923","17,359","9,805","15,067","9,021","12,212","4,415","8,391",813,"2,665",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1278,운정,42,0,"4,521",450,"18,887","5,051","30,983","6,592","30,635","11,894","16,268","6,008","12,258","5,037","10,165","5,909","10,247","6,275","9,213","6,639","8,014","7,705","8,486","10,192","10,889","13,364","11,797","18,831","11,864","24,016","5,250","21,964","3,935","13,206","3,199","11,616","2,331","9,926",684,"6,591",87,"1,837",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1279,금릉,52,0,"2,812",183,"11,408","2,315","21,374","5,769","17,376","11,524","10,561","5,603","8,512","4,791","8,200","4,333","8,160","5,452","7,431","5,908","6,487","7,451","6,679","8,222","8,616","9,967","10,265","14,538","11,357","15,857","5,748","16,033","4,284","9,198","3,534","8,740","2,771","8,038",569,"5,427",72,"1,730",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1280,금촌,53,0,"3,711",304,"10,143","4,068","20,194","9,755","19,575","15,957","13,237","8,480","11,084","8,086","11,257","7,081","12,134","10,225","11,542","9,797","10,284","9,638","10,880","10,449","12,973","12,925","14,351","17,910","17,172","17,851","8,196","16,034","6,211","11,279","4,599","10,265","3,132","8,732",767,"5,967",118,"1,781",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1282,월롱,45,1,510,11,837,"4,734","1,874","9,826","2,397","11,375","2,296","4,866","1,987","2,893","2,123","1,954","3,938","3,099","3,550","2,043","3,251","1,599","5,990","1,905","8,295","2,357","12,594","2,742","13,055","2,966","4,584","2,481","3,994","2,728","2,165","3,019",998,"2,810",137,"2,181",12,712,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1283,파주,42,0,727,8,"1,561",652,"3,004","2,567","3,132","5,945","2,192","3,316","1,952","2,629","2,445","1,098","3,035","1,642","2,152","1,528","2,136","1,085","3,231","1,378","4,902","1,540","6,330","1,521","4,479","1,932","1,489","1,929",828,"1,643",832,"1,215",386,"1,299",38,757,11,377,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1284,문산,906,3,"2,821",13,"8,032","2,754","15,891","7,351","15,853","15,476","11,806","5,733","9,010","6,896","8,804","7,804","9,378","8,055","9,358","8,030","9,234","7,472","9,565","9,452","10,368","9,235","13,298","11,917","12,293","13,758","5,692","13,692","4,350","9,588","3,088","7,089","2,073","7,675",164,"5,039",0,"2,511",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1285,임진강,0,0,0,0,0,0,0,0,0,0,15,247,27,478,8,4,161,15,2,3,11,2,243,161,142,43,508,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1286,운천,0,0,0,0,0,0,0,0,0,0,12,23,58,59,0,0,18,2,0,0,2,0,15,17,22,4,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1291,서울역,0,0,567,2,"1,189","8,615","2,833","27,824","3,555","38,974","2,380","22,467","1,851","7,919","2,150","5,422","3,428","5,444","4,058","6,732","4,179","3,515","6,993","3,341","9,428","3,739","17,731","5,387","32,794","6,659","12,234","3,222","6,773","2,123","7,047","2,150","1,114",247,"2,508",970,3,141,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1292,공덕,3,2,719,91,"2,071","1,811","4,646","7,546","5,774","19,724","5,264","8,607","5,357","3,487","5,113","3,831","5,015","3,653","5,292","3,551","5,033","3,468","5,269","3,797","6,254","4,736","10,885","6,271","16,733","7,387","7,916","5,092","6,903","3,410","7,124","3,550","6,068","2,918","2,633","1,907",206,308,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1293,홍대입구,10,2,354,136,901,827,"1,533","2,175","1,642","7,119","1,557","6,332","1,532","4,259","1,603","4,792","2,126","5,039","2,536","5,308","3,186","5,151","3,664","4,965","4,621","5,512","6,516","5,805","7,087","7,010","5,653","4,932","5,262","2,957","5,644","2,542","5,462","1,976","2,618","1,456",42,239,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1294,디지털미디어시티,7,0,"1,113",462,"3,671","1,695","11,740","2,223","12,215","4,627","6,841","4,058","4,873","2,577","4,184","2,396","4,589","2,935","4,017","3,475","4,104","3,228","4,006","3,692","4,851","4,915","5,816","7,142","5,549","10,681","3,119","7,926","2,255","5,370","1,991","4,203","1,722","4,539",846,"2,905",45,407,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경의선,1296,계양,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1311,신내,15,0,909,697,"3,001","3,546","8,519","5,937","7,505","8,225","4,225","2,560","3,368","2,002","2,811","1,923","2,983","1,893","2,790","2,574","2,724","2,131","3,288","3,746","5,289","3,302","4,764","5,002","6,492","5,389","2,794","4,764","1,667","2,572","1,283","2,230","1,140","2,128",540,"1,381",59,614,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1312,갈매,4,0,"1,737",662,"4,206","1,897","17,667","3,852","11,266","6,413","7,968","2,627","4,748","2,666","4,206","2,235","4,239","2,378","3,567","3,514","3,463","2,891","3,917","4,718","5,138","4,853","5,254","6,763","4,750","11,222","2,436","8,278","2,198","4,781","2,423","4,210","1,602","3,099",808,"1,789",13,832,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1313,별내,33,0,"1,382","1,314","3,805","3,290","13,181","4,945","10,306","7,753","6,902","4,578","5,046","3,745","4,089","3,049","4,796","3,113","4,355","3,846","4,299","3,516","4,941","4,458","6,199","5,506","7,485","7,710","7,118","10,376","3,572","8,796","2,639","4,796","2,374","3,270","1,985","3,632",854,"1,686",32,566,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1314,퇴계원,10,1,"2,978",573,"5,838","1,699","19,326","4,003","13,748","5,262","9,711","2,440","6,659","3,199","5,379","2,900","6,064","3,529","5,189","3,678","3,798","4,215","4,166","4,729","4,111","6,697","5,006","10,422","6,111","12,035","2,882","11,495","2,072","6,683","1,650","4,497","1,231","5,863",493,"2,684",50,833,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1315,사릉,16,0,"1,970",670,"4,140","1,437","11,053","5,341","8,837","4,880","5,708","2,905","3,955","2,463","3,783","2,502","3,544","2,500","3,331","2,175","2,454","3,077","3,297","2,930","3,220","4,101","4,840","6,138","5,410","7,110","2,160","8,740","1,405","3,953","1,064","2,964",665,"2,832",234,"2,020",17,489,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1316,금곡,15,0,"1,563",316,"2,437","1,039","4,826","2,028","4,921","6,117","3,648","2,059","2,773","1,882","2,993","1,470","2,603","2,211","2,600","1,650","2,078","2,534","2,538","2,445","3,207","2,575","3,435","3,559","3,900","4,314","1,489","3,864","1,055","1,700",651,"1,917",458,"1,660",168,"1,239",18,288,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1317,평내호평,551,12,"6,046",731,"14,805","1,785","30,476","4,621","23,766","10,803","13,796","7,231","11,529","5,794","10,397","5,743","10,029","7,959","8,989","7,344","7,420","9,959","7,927","10,037","8,147","11,710","8,907","20,786","8,754","21,958","5,425","24,646","4,544","10,476","4,081","8,945","3,609","8,163","1,703","5,693",57,"2,428",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1318,천마산,22,0,"1,124",169,"3,456",601,"8,478","1,628","6,808","2,334","5,204","1,815","4,075","1,409","2,831","1,932","2,975","2,217","2,393","2,108","2,302","2,510","2,085","3,203","2,303","3,249","1,826","4,606","2,366","5,876","1,101","4,875",748,"3,458",539,"2,534",378,"2,090",116,"1,245",5,257,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1319,마석,24,1,"1,407",481,"9,007","2,895","15,575","6,623","14,357","7,477","10,542","5,959","8,431","4,511","7,160","5,662","7,414","5,064","6,671","6,728","6,306","6,426","6,218","7,701","7,120","8,046","7,047","11,432","7,341","11,105","3,745","13,732","2,752","7,158","2,193","5,624","1,606","5,199",682,"2,194",34,953,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1320,대성리,14,0,"3,088",118,"4,079",333,"2,104",885,"2,006","1,449","2,757","1,238","3,935","2,477","3,675","2,103","1,760","2,132","1,621","4,192","1,881","6,487","2,322","3,224","2,515","3,068","2,233","1,991","1,802","1,861",841,"1,272",518,714,364,396,229,394,70,290,2,6,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1321,청평,5,2,"1,680",195,"2,382","1,036","4,230","1,875","5,329","5,131","4,360","3,440","4,090","4,112","4,150","3,002","3,812","3,925","3,740","3,012","3,958","4,165","4,499","4,403","4,715","4,292","5,336","5,348","4,030","4,405","2,136","3,479","1,266","2,637",781,"1,820",447,"1,440",167,"1,279",9,291,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1322,상천,0,0,224,49,336,265,645,447,768,"1,200",547,"1,700",737,"2,140",949,"1,907",807,"1,208","1,285",696,"2,019","1,156","2,031",744,"1,968",624,"1,398",667,789,406,376,527,157,225,104,295,27,199,9,114,0,31,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1323,가평,0,0,714,214,"1,647","1,299","3,606","2,770","4,386","6,387","3,134","4,668","3,408","4,513","4,475","5,715","3,456","4,690","3,588","4,024","4,524","4,471","5,455","4,109","5,949","3,153","6,815","3,921","5,780","3,321","2,739","3,394","1,804","2,271","1,195","1,545",583,"1,265",218,"1,114",15,299,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1324,굴봉산,0,0,53,13,57,88,205,351,204,577,190,656,272,"1,587",411,870,430,393,622,303,949,343,998,287,868,203,476,178,326,147,175,133,146,103,46,65,56,48,13,56,2,10,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1325,백양리,0,0,11,4,21,50,19,274,97,308,62,273,95,611,182,382,220,217,273,172,409,193,391,105,331,86,361,55,209,71,101,34,32,33,25,22,25,37,11,28,2,3,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1326,강촌,7,0,241,21,317,140,508,408,694,"2,179",769,"2,391","1,207","2,630","1,293","2,311","1,134","1,333","1,467",953,"2,109","1,245","2,769",889,"2,681",918,"2,612",725,"1,441",883,722,557,426,447,250,402,100,322,40,218,0,31,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경춘선,1327,김유정,7,0,76,20,221,128,622,589,535,"1,080",454,"1,250",404,"2,207",589,"2,352",772,"1,848","1,050","1,315","1,494","1,195","1,967",872,"1,680",745,"1,884",741,"1,160",653,655,430,293,289,161,216,48,194,26,111,10,50,0,0,0,0,0,0,2023-05-03 10:27
