사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Apr-23,2호선,220,선릉,122,6,"4,944","6,083","11,291","40,589","21,426","115,084","34,232","274,538","33,158","220,867","36,897","102,507","46,254","63,329","56,298","56,760","64,296","64,991","73,678","53,213","91,713","48,383","116,534","48,701","190,998","54,806","287,597","58,731","144,404","36,353","92,897","22,988","88,976","20,654","73,144","18,504","26,660","11,212","3,962","4,717",4,137,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,221,역삼,62,0,"3,577","6,751","9,624","39,117","15,618","147,374","26,407","357,551","24,225","303,654","25,727","131,691","34,048","67,385","42,044","58,918","50,310","64,651","58,579","50,511","77,527","45,392","97,249","42,289","209,586","50,519","274,765","58,316","151,729","36,578","88,162","22,778","83,027","19,624","56,172","16,753","21,109","10,122","3,331","3,024",1,68,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,222,강남,184,13,"8,940","10,705","18,495","52,239","39,623","148,976","63,947","295,614","52,722","303,214","52,776","146,767","68,609","101,527","86,037","98,981","99,528","112,447","110,176","97,516","133,225","95,724","159,592","102,743","237,734","134,555","308,641","177,724","201,364","108,546","158,421","60,169","184,316","49,930","166,060","42,626","77,194","24,423","13,039","6,605",2,111,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,223,교대(법원.검찰청),41,3,"2,838","6,931","11,578","26,957","26,331","59,031","38,293","156,587","30,157","141,602","28,507","69,369","33,425","58,255","35,316","52,654","43,710","57,253","51,081","49,569","56,020","48,028","57,556","49,944","95,308","63,394","134,212","74,094","65,089","43,981","54,528","27,023","55,989","24,373","45,075","22,165","16,606","12,041","3,152","3,245",0,16,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,224,서초,6,0,"1,881","5,182","12,991","21,533","21,344","52,106","29,841","110,381","29,498","93,209","23,002","44,493","29,963","36,524","28,344","25,239","35,824","27,528","36,077","25,248","43,384","21,009","48,309","23,300","69,317","26,217","93,249","28,737","46,109","19,598","32,190","11,948","32,651","11,358","19,050","10,800","6,745","5,983",964,"1,469",0,7,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,225,방배,4,0,"2,619","2,642","9,678","13,433","23,084","27,457","32,177","78,382","26,510","60,691","20,637","37,657","22,307","28,419","24,739","29,597","26,999","27,163","30,983","26,574","34,298","25,117","41,698","26,547","51,372","33,647","69,295","38,041","32,021","27,304","25,266","18,179","24,685","16,486","20,917","17,607","8,312","9,522","1,630","2,686",0,3,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,226,사당,104,3,"11,837","4,364","28,213","39,661","76,357","51,015","98,774","70,994","76,732","55,671","50,161","46,649","46,139","55,719","52,941","56,863","55,698","53,499","59,111","52,421","61,883","63,409","66,545","84,205","77,936","122,123","96,676","171,747","69,690","114,919","67,657","72,537","72,227","67,437","65,562","64,557","35,483","39,238","5,446","10,753",2,584,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,227,낙성대(강감찬),25,1,"11,213","2,305","26,423","10,260","84,126","22,441","127,483","41,280","83,002","35,107","46,485","30,256","39,003","24,827","42,890","28,058","41,938","30,394","36,846","31,417","37,837","36,737","42,721","43,874","46,729","61,734","51,663","101,428","29,849","84,935","24,188","57,091","22,423","55,201","17,132","54,820","9,352","33,995","1,611","9,307",1,146,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,228,서울대입구(관악구청),"4,522",27,"27,339","2,729","43,717","14,287","127,996","29,099","175,370","70,349","121,575","66,463","72,005","58,503","62,390","47,195","68,783","51,603","74,575","58,479","64,040","57,136","69,676","64,674","73,990","78,775","84,829","107,372","90,729","175,988","56,902","138,983","48,048","88,756","51,105","84,619","46,164","82,641","24,169","48,579","3,920","19,359",1,"3,254",0,0,0,0,2023-05-03 10:27
Apr-23,2호선,229,봉천,104,1,"15,201","1,576","29,553","7,014","83,702","13,094","121,338","24,932","77,231","21,143","44,026","18,612","35,130","21,672","36,808","23,158","36,741","25,709","30,412","28,738","29,596","37,158","31,601","43,463","30,651","56,611","31,865","89,992","20,831","73,001","16,446","47,361","14,594","44,718","11,214","41,688","4,669","25,274",857,"7,833",1,414,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,230,신림,213,9,"38,178","4,142","71,864","18,600","188,345","28,764","274,388","43,507","171,001","44,199","96,004","40,867","79,646","45,685","84,757","51,153","79,177","58,728","71,545","62,999","70,188","80,714","74,235","100,689","77,707","136,113","80,251","228,888","55,151","197,659","47,473","128,581","44,807","124,017","40,102","117,228","23,096","74,774","4,559","21,614",3,426,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,231,신대방,147,3,"23,810","1,889","35,399","9,244","91,107","15,964","134,486","26,259","84,820","20,131","47,465","18,570","39,056","19,761","38,671","23,551","36,271","27,015","32,437","30,815","31,075","40,798","33,794","47,379","34,511","63,895","33,253","95,411","21,447","81,853","16,468","58,084","13,309","60,594","10,677","57,112","5,359","32,836",962,"8,814",0,100,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,232,구로디지털단지,282,18,"36,438","4,967","54,294","19,545","140,938","78,469","188,076","223,626","118,212","144,318","72,708","59,509","64,259","44,216","69,530","47,446","68,553","58,623","61,540","57,603","64,233","66,779","78,334","80,533","129,549","109,612","205,800","166,272","101,791","133,844","65,563","88,042","56,112","87,711","42,427","83,475","19,236","50,528","3,260","13,502",0,174,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,233,대림(구로구청),638,39,"32,254","3,630","31,215","10,929","68,503","23,062","93,629","56,389","64,276","37,097","40,877","31,990","36,637","34,916","37,264","34,144","35,627","35,254","34,292","34,287","36,381","42,765","38,175","51,334","44,065","62,252","51,961","71,011","27,495","54,105","20,171","39,659","16,034","48,742","11,164","44,400","5,470","22,485",763,"5,647",2,176,1,0,0,0,2023-05-03 10:27
Apr-23,2호선,234,신도림,"3,682",16,"34,210","5,380","52,573","21,788","138,799","44,117","147,112","110,318","93,886","70,753","64,671","64,271","62,348","62,315","70,056","65,603","70,888","70,907","72,836","65,161","74,819","74,085","83,529","87,403","98,677","116,270","121,037","174,097","73,503","124,539","64,113","74,987","64,825","71,763","46,965","68,137","21,742","51,281","2,528","21,054",7,"2,743",0,0,0,0,2023-05-03 10:27
Apr-23,2호선,235,문래,11,0,"4,102","2,158","13,892","10,896","43,849","36,569","49,548","125,487","29,007","60,854","21,311","25,959","20,400","23,050","24,622","24,981","25,106","26,428","24,659","25,144","27,805","26,377","34,586","30,719","57,550","39,479","104,153","58,709","39,138","40,569","26,989","22,152","28,473","19,492","22,686","17,823","10,918","10,504","1,744","3,005",1,72,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,236,영등포구청,30,1,"5,541","3,676","12,866","14,065","39,247","36,576","48,300","118,946","30,104","52,131","23,519","26,899","24,066","24,887","27,126","25,347","27,911","28,294","28,989","26,387","30,015","26,959","36,313","30,627","54,033","37,509","98,702","55,358","36,687","36,666","27,886","22,851","25,892","21,344","19,316","18,743","8,948","12,675","1,473","4,494",6,106,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,237,당산,30,5,"6,765","3,236","16,708","12,853","45,399","29,299","58,331","77,636","39,206","39,161","27,308","19,830","25,347","19,031","25,648","21,172","24,989","24,435","22,481","24,032","24,612","28,382","29,408","34,965","43,432","49,958","60,581","76,600","28,175","50,170","22,173","34,034","21,523","34,157","18,794","30,528","8,703","19,982","1,243","4,913",0,113,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,238,합정,115,10,"10,061","3,178","18,837","13,800","42,516","33,573","54,735","98,350","39,342","90,413","29,913","55,219","32,085","52,634","38,458","54,911","41,730","63,153","44,854","57,415","48,211","58,643","57,416","67,312","78,240","85,194","118,759","117,237","79,195","80,388","65,213","45,131","72,987","37,708","65,788","32,535","35,172","22,706","5,527","8,263",4,76,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,239,홍대입구,"1,187",23,"29,418","3,392","32,831","18,614","62,304","39,740","84,826","108,238","64,861","139,592","59,100","100,906","63,273","115,281","73,448","134,161","84,972","145,690","90,501","140,429","110,969","144,431","137,682","155,447","162,658","185,990","190,683","233,692","159,476","172,735","156,796","107,877","185,846","87,109","180,874","71,719","96,116","49,446","12,174","17,142",8,"1,831",0,0,0,0,2023-05-03 10:27
Apr-23,2호선,240,신촌,69,7,"7,858","2,999","14,833","14,920","37,234","37,425","55,318","89,787","41,261","101,420","39,559","74,579","46,062","66,354","58,060","67,851","63,862","75,978","65,399","66,097","72,990","62,526","87,072","65,765","101,825","87,112","100,634","116,619","72,509","78,635","74,836","46,980","80,730","42,458","81,035","37,239","39,578","25,081","6,508","6,400",2,106,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,241,이대,33,0,"3,696",822,"9,606","6,079","28,107","15,640","37,840","44,557","24,657","55,685","20,445","45,165","21,947","30,066","30,211","33,333","30,812","36,582","29,706","26,935","38,354","27,718","41,195","27,650","51,513","35,684","43,839","48,281","27,974","33,355","24,640","23,155","25,721","23,224","19,243","23,005","7,623","16,456","1,028","4,265",0,71,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,242,아현,31,3,"4,984",903,"10,773","5,711","30,362","13,106","41,982","23,192","24,515","13,424","18,688","12,904","16,972","10,440","17,656","12,908","17,425","13,289","15,847","14,285","17,323","16,195","23,525","18,550","19,869","24,298","20,986","34,519","13,371","24,924","9,874","17,068","7,572","17,326","5,865","15,555","2,209","9,487",386,"2,615",0,26,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,243,충정로(경기대입구),16,0,"3,363",954,"6,565","7,520","16,186","22,996","22,032","60,965","15,255","27,645","11,185","13,601","11,801","10,964","12,498","11,187","13,419","13,185","13,799","12,144","14,743","12,291","18,280","13,653","30,089","16,677","46,552","22,079","15,652","15,015","10,329","10,738","9,993","10,551","7,120","9,693","3,254","6,449",556,"1,869",0,32,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,244,용답,1,0,"2,091",218,"3,372","1,194","8,753","1,941","13,477","4,268","7,392","5,966","5,309","4,137","4,465","3,121","4,999","3,614","5,070","4,463","4,865","3,819","5,300","4,740","6,495","6,343","5,788","7,118","4,409","11,010","2,829","7,394","2,202","5,238","1,661","5,981","1,377","5,652",560,"3,531",165,934,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,245,신답,10,0,"1,142",200,"1,933",628,"6,412",977,"11,211","1,825","4,963","1,078","2,662","1,132","2,180","1,261","2,312","1,483","2,242","1,683","1,984","2,021","1,918","2,645","2,086","3,763","2,128","4,640","2,234","9,494","1,165","6,977",696,"3,538",609,"3,923",585,"3,140",201,"2,033",39,497,0,2,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,246,신설동,58,4,"1,385",294,"1,519","2,226","4,630","5,398","8,842","13,969","5,564","8,927","5,075","8,555","6,066","7,620","7,470","7,353","8,015","8,245","8,433","6,440","9,425","6,149","9,898","5,459","12,509","6,067","13,094","7,301","5,248","5,598","3,464","4,313","2,849","3,566","2,026","3,635",781,"2,351",94,735,0,144,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,247,도림천,0,0,369,378,"1,123",987,"3,323","3,812","3,611","5,339","2,210","2,047","1,883","1,847","1,802","1,261","2,164","2,042","1,713","1,755","2,064","1,994","2,588","2,095","3,135","2,204","2,948","2,337","3,641","3,115","1,629","2,629","1,082","1,782",807,"1,531",562,"1,348",185,927,44,253,0,10,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,248,양천구청,11,0,"4,847","1,003","12,184","2,402","34,555","5,038","31,354","10,143","19,307","5,338","12,719","5,116","11,256","5,492","11,643","7,297","9,939","8,229","7,916","9,264","7,449","11,581","9,532","14,517","9,297","20,216","8,768","30,171","4,443","25,370","3,170","14,644","2,658","14,051","2,475","11,595",770,"8,739",171,"2,786",0,25,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,249,신정네거리,65,2,"8,545",778,"19,300","3,066","51,057","5,195","46,432","11,657","26,736","8,305","18,048","7,840","16,175","9,389","16,754","10,433","14,847","12,176","12,721","12,853","11,543","18,084","13,450","22,658","12,544","31,281","11,564","48,564","7,636","36,238","5,409","20,945","4,751","19,548","3,602","17,546","1,606","11,700",295,"3,279",1,161,0,1,0,0,2023-05-03 10:27
Apr-23,2호선,250,용두(동대문구청),42,0,"1,188",78,"1,904",958,"5,166","2,672","9,157","5,750","4,843","3,407","3,999","3,441","3,870","3,271","3,997","3,309","4,209","4,239","4,229","4,097","4,599","4,483","4,915","4,419","4,959","4,705","5,528","7,940","2,603","5,349","1,756","3,187","1,552","3,313",919,"2,439",350,"1,538",48,518,1,6,0,0,0,0,2023-05-03 10:27
Apr-23,3호선,309,지축,3,0,"2,799",569,"9,995","5,430","28,378","5,640","27,445","8,815","15,175","5,955","10,569","4,602","9,053","5,400","9,016","6,376","8,953","7,335","7,888","7,507","9,517","8,893","10,751","12,103","10,715","15,777","8,060","25,334","5,821","20,933","4,503","13,030","3,769","11,528","3,176","10,303","1,396","5,944",228,"1,017",0,0,0,0,0,0,2023-05-03 10:27
