"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0세"
"서울특별시 구로구 고척제2동(1153073000)","26,471","91","91"
"서울특별시 구로구 개봉제1동(1153074000)","33,621","231","231"
"서울특별시 구로구 개봉제2동(1153075000)","30,609","155","155"
"서울특별시 구로구 개봉제3동(1153076000)","20,216","65","65"
"서울특별시 구로구 오류제1동(1153077000)","22,391","117","117"
"서울특별시 구로구 오류제2동(1153078000)","38,243","165","165"
"서울특별시 구로구 수궁동(1153079000)","23,266","123","123"
"서울특별시 구로구 항동(1153080000)","16,485","174","174"
"서울특별시 금천구 (1154500000)","231,427","973","973"
"서울특별시 금천구 가산동(1154551000)","24,017","76","76"
"서울특별시 금천구 독산제1동(1154561000)","45,669","311","311"
"서울특별시 금천구 독산제2동(1154562000)","18,581","64","64"
"서울특별시 금천구 독산제3동(1154563000)","24,258","92","92"
"서울특별시 금천구 독산제4동(1154564000)","15,136","43","43"
"서울특별시 금천구 시흥제1동(1154567000)","32,737","135","135"
"서울특별시 금천구 시흥제2동(1154568000)","20,982","70","70"
"서울특별시 금천구 시흥제3동(1154569000)","10,727","43","43"
"서울특별시 금천구 시흥제4동(1154570000)","20,291","67","67"
"서울특별시 금천구 시흥제5동(1154571000)","19,029","72","72"
"서울특별시 영등포구 (1156000000)","376,290","2,185","2,185"
"서울특별시 영등포구 영등포본동(1156051500)","21,220","112","112"
"서울특별시 영등포구 영등포동(1156053500)","29,406","160","160"
"서울특별시 영등포구 여의동(1156054000)","32,768","147","147"
"서울특별시 영등포구 당산제1동(1156055000)","20,381","127","127"
"서울특별시 영등포구 당산제2동(1156056000)","37,564","240","240"
"서울특별시 영등포구 도림동(1156058500)","17,832","102","102"
"서울특별시 영등포구 문래동(1156060500)","32,503","250","250"
"서울특별시 영등포구 양평제1동(1156061000)","18,354","168","168"
"서울특별시 영등포구 양평제2동(1156062000)","22,259","163","163"
"서울특별시 영등포구 신길제1동(1156063000)","17,343","54","54"
"서울특별시 영등포구 신길제3동(1156065000)","16,509","98","98"
"서울특별시 영등포구 신길제4동(1156066000)","12,341","66","66"
"서울특별시 영등포구 신길제5동(1156067000)","10,426","48","48"
"서울특별시 영등포구 신길제6동(1156068000)","19,054","88","88"
"서울특별시 영등포구 신길제7동(1156069000)","19,933","154","154"
"서울특별시 영등포구 대림제1동(1156070000)","14,302","51","51"
"서울특별시 영등포구 대림제2동(1156071000)","11,913","27","27"
"서울특별시 영등포구 대림제3동(1156072000)","22,182","130","130"
"서울특별시 동작구 (1159000000)","385,755","1,682","1,682"
"서울특별시 동작구 노량진제1동(1159051000)","31,943","180","180"
"서울특별시 동작구 노량진제2동(1159052000)","10,650","22","22"
"서울특별시 동작구 상도제1동(1159053000)","44,402","150","150"
"서울특별시 동작구 상도제2동(1159054000)","27,907","166","166"
"서울특별시 동작구 상도제3동(1159055000)","24,344","78","78"
"서울특별시 동작구 상도제4동(1159056000)","28,497","118","118"
"서울특별시 동작구 흑석동(1159060500)","31,275","131","131"
"서울특별시 동작구 사당제1동(1159062000)","22,761","63","63"
"서울특별시 동작구 사당제2동(1159063000)","28,424","177","177"
"서울특별시 동작구 사당제3동(1159064000)","24,244","120","120"
"서울특별시 동작구 사당제4동(1159065000)","14,139","51","51"
"서울특별시 동작구 사당제5동(1159065100)","14,367","95","95"
"서울특별시 동작구 대방동(1159066000)","37,724","135","135"
"서울특별시 동작구 신대방제1동(1159067000)","22,963","75","75"
"서울특별시 동작구 신대방제2동(1159068000)","22,115","121","121"
"서울특별시 관악구 (1162000000)","486,686","1,521","1,521"
"서울특별시 관악구 보라매동(1162052500)","24,430","71","71"
"서울특별시 관악구 청림동(1162054500)","15,008","110","110"
"서울특별시 관악구 성현동(1162056500)","28,931","111","111"
"서울특별시 관악구 행운동(1162057500)","29,191","82","82"
"서울특별시 관악구 낙성대동(1162058500)","17,082","41","41"
"서울특별시 관악구 청룡동(1162059500)","35,732","106","106"
"서울특별시 관악구 은천동(1162060500)","32,939","146","146"
"서울특별시 관악구 중앙동(1162061500)","15,298","38","38"
"서울특별시 관악구 인헌동(1162062500)","25,930","88","88"
"서울특별시 관악구 남현동(1162063000)","18,057","74","74"
"서울특별시 관악구 서원동(1162064500)","22,876","67","67"
"서울특별시 관악구 신원동(1162065500)","17,964","43","43"
"서울특별시 관악구 서림동(1162066500)","23,232","61","61"
"서울특별시 관악구 신사동(1162068500)","22,731","51","51"
"서울특별시 관악구 신림동(1162069500)","22,907","45","45"
"서울특별시 관악구 난향동(1162071500)","15,180","53","53"
"서울특별시 관악구 조원동(1162072500)","17,525","54","54"
"서울특별시 관악구 대학동(1162073500)","23,491","60","60"
"서울특별시 관악구 삼성동(1162074500)","21,077","38","38"
"서울특별시 관악구 미성동(1162076500)","30,540","99","99"
"서울특별시 관악구 난곡동(1162077500)","26,565","83","83"
"서울특별시 서초구 (1165000000)","408,133","1,886","1,886"
"서울특별시 서초구 서초1동(1165051000)","20,579","103","103"
"서울특별시 서초구 서초2동(1165052000)","26,508","174","174"
"서울특별시 서초구 서초3동(1165053000)","32,262","152","152"
"서울특별시 서초구 서초4동(1165053100)","30,579","92","92"
"서울특별시 서초구 잠원동(1165054000)","26,624","101","101"
"서울특별시 서초구 반포본동(1165055000)","419","1","1"
"서울특별시 서초구 반포1동(1165056000)","34,413","140","140"
"서울특별시 서초구 반포2동(1165057000)","15,755","46","46"
"서울특별시 서초구 반포3동(1165058000)","21,941","99","99"
"서울특별시 서초구 반포4동(1165058100)","19,116","90","90"
"서울특별시 서초구 방배본동(1165059000)","20,672","67","67"
"서울특별시 서초구 방배1동(1165060000)","16,816","79","79"
"서울특별시 서초구 방배2동(1165061000)","18,686","85","85"
"서울특별시 서초구 방배3동(1165062000)","18,517","104","104"
"서울특별시 서초구 방배4동(1165062100)","23,276","125","125"
"서울특별시 서초구 양재1동(1165065100)","42,754","215","215"
"서울특별시 서초구 양재2동(1165065200)","21,746","108","108"
"서울특별시 서초구 내곡동(1165066000)","17,470","105","105"
"서울특별시 강남구 (1168000000)","531,744","1,989","1,989"
"서울특별시 강남구 신사동(1168051000)","15,760","59","59"
"서울특별시 강남구 논현1동(1168052100)","21,987","60","60"
"서울특별시 강남구 논현2동(1168053100)","20,899","76","76"
"서울특별시 강남구 압구정동(1168054500)","26,089","115","115"
"서울특별시 강남구 청담동(1168056500)","25,475","116","116"
"서울특별시 강남구 삼성1동(1168058000)","12,745","55","55"
"서울특별시 강남구 삼성2동(1168059000)","30,914","126","126"
"서울특별시 강남구 대치1동(1168060000)","23,920","33","33"
"서울특별시 강남구 대치2동(1168061000)","36,695","77","77"
"서울특별시 강남구 대치4동(1168063000)","19,509","33","33"
"서울특별시 강남구 역삼1동(1168064000)","35,220","94","94"
"서울특별시 강남구 역삼2동(1168065000)","36,151","116","116"
"서울특별시 강남구 도곡1동(1168065500)","21,403","108","108"
"서울특별시 강남구 도곡2동(1168065600)","32,972","108","108"
"서울특별시 강남구 개포1동(1168066000)","7,000","26","26"
"서울특별시 강남구 개포2동(1168067000)","28,098","131","131"
"서울특별시 강남구 개포4동(1168069000)","23,577","122","122"
"서울특별시 강남구 세곡동(1168070000)","43,149","209","209"
"서울특별시 강남구 일원본동(1168072000)","23,089","97","97"
"서울특별시 강남구 일원1동(1168073000)","15,031","57","57"
"서울특별시 강남구 일원2동(1168074000)","17,486","92","92"
"서울특별시 강남구 수서동(1168075000)","14,575","79","79"
"서울특별시 송파구 (1171000000)","662,960","3,343","3,343"
"서울특별시 송파구 풍납1동(1171051000)","12,670","49","49"
"서울특별시 송파구 풍납2동(1171052000)","24,613","144","144"
"서울특별시 송파구 거여1동(1171053100)","12,347","56","56"
"서울특별시 송파구 거여2동(1171053200)","23,283","153","153"
"서울특별시 송파구 마천1동(1171054000)","18,743","45","45"
"서울특별시 송파구 마천2동(1171055000)","18,378","49","49"
"서울특별시 송파구 방이1동(1171056100)","15,522","55","55"
