순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
69,2021,01월,3,롯데백화점 주변 상권,f,여성,5,야간,3017056000,괴정동,39974.68,5710.67,2022-11-15
70,2021,01월,3,롯데백화점 주변 상권,m,남성,5,야간,3017056000,괴정동,54063.4,7723.34,2022-11-15
71,2021,01월,4,갤러리아백화점 주변 상권,f,여성,1,출근,3017064000,둔산2동,47267.36,23633.68,2022-11-15
72,2021,01월,4,갤러리아백화점 주변 상권,m,남성,1,출근,3017064000,둔산2동,48118.02,24059.01,2022-11-15
73,2021,01월,4,갤러리아백화점 주변 상권,f,여성,2,주간,3017064000,둔산2동,763717.18,84857.46,2022-11-15
74,2021,01월,4,갤러리아백화점 주변 상권,m,남성,2,주간,3017064000,둔산2동,621787.54,69087.51,2022-11-15
75,2021,01월,4,갤러리아백화점 주변 상권,f,여성,3,퇴근,3017064000,둔산2동,150338.52,75169.26,2022-11-15
76,2021,01월,4,갤러리아백화점 주변 상권,m,남성,3,퇴근,3017064000,둔산2동,144164.22,72082.11,2022-11-15
77,2021,01월,4,갤러리아백화점 주변 상권,f,여성,4,저녁,3017064000,둔산2동,138859.23,34714.82,2022-11-15
78,2021,01월,4,갤러리아백화점 주변 상권,m,남성,4,저녁,3017064000,둔산2동,148186.02,37046.51,2022-11-15
79,2021,01월,4,갤러리아백화점 주변 상권,f,여성,5,야간,3017064000,둔산2동,55989.75,7998.54,2022-11-15
80,2021,01월,4,갤러리아백화점 주변 상권,m,남성,5,야간,3017064000,둔산2동,69269.88,9895.69,2022-11-15
81,2021,01월,5,이마트 둔산점 주변 상권,f,여성,1,출근,3017058700,월평2동,14036.88,7018.44,2022-11-15
82,2021,01월,5,이마트 둔산점 주변 상권,m,남성,1,출근,3017058700,월평2동,14912.04,7456.02,2022-11-15
83,2021,01월,5,이마트 둔산점 주변 상권,f,여성,2,주간,3017058700,월평2동,139225.95,15469.55,2022-11-15
84,2021,01월,5,이마트 둔산점 주변 상권,m,남성,2,주간,3017058700,월평2동,132587.52,14731.95,2022-11-15
85,2021,01월,5,이마트 둔산점 주변 상권,f,여성,3,퇴근,3017058700,월평2동,32796.52,16398.26,2022-11-15
86,2021,01월,5,이마트 둔산점 주변 상권,m,남성,3,퇴근,3017058700,월평2동,32821.92,16410.96,2022-11-15
87,2021,01월,5,이마트 둔산점 주변 상권,f,여성,4,저녁,3017058700,월평2동,52181.1,13045.29,2022-11-15
88,2021,01월,5,이마트 둔산점 주변 상권,m,남성,4,저녁,3017058700,월평2동,52198.98,13049.76,2022-11-15
89,2021,01월,5,이마트 둔산점 주변 상권,f,여성,5,야간,3017058700,월평2동,21777.95,3111.13,2022-11-15
90,2021,01월,5,이마트 둔산점 주변 상권,m,남성,5,야간,3017058700,월평2동,24144.3,3449.19,2022-11-15
91,2021,01월,5,이마트 둔산점 주변 상권,f,여성,1,출근,3017064000,둔산2동,51408.83,25704.42,2022-11-15
92,2021,01월,5,이마트 둔산점 주변 상권,m,남성,1,출근,3017064000,둔산2동,53126.37,26563.19,2022-11-15
93,2021,01월,5,이마트 둔산점 주변 상권,f,여성,2,주간,3017064000,둔산2동,567642.43,63071.38,2022-11-15
94,2021,01월,5,이마트 둔산점 주변 상권,m,남성,2,주간,3017064000,둔산2동,508575.79,56508.42,2022-11-15
95,2021,01월,5,이마트 둔산점 주변 상권,f,여성,3,퇴근,3017064000,둔산2동,105365.83,52682.92,2022-11-15
96,2021,01월,5,이마트 둔산점 주변 상권,m,남성,3,퇴근,3017064000,둔산2동,98757.92,49378.96,2022-11-15
97,2021,01월,5,이마트 둔산점 주변 상권,f,여성,4,저녁,3017064000,둔산2동,130214.91,32553.74,2022-11-15
98,2021,01월,5,이마트 둔산점 주변 상권,m,남성,4,저녁,3017064000,둔산2동,123656.41,30914.11,2022-11-15
99,2021,01월,5,이마트 둔산점 주변 상권,f,여성,5,야간,3017064000,둔산2동,58760.62,8394.37,2022-11-15
100,2021,01월,5,이마트 둔산점 주변 상권,m,남성,5,야간,3017064000,둔산2동,62787.29,8969.61,2022-11-15
101,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,1,출근,3017063000,둔산1동,3390.23,1695.12,2022-11-15
102,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,1,출근,3017063000,둔산1동,4700.71,2350.36,2022-11-15
103,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,2,주간,3017063000,둔산1동,33876.71,3764.08,2022-11-15
104,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,2,주간,3017063000,둔산1동,46210.68,5134.52,2022-11-15
105,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,3,퇴근,3017063000,둔산1동,5450.12,2725.06,2022-11-15
106,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,3,퇴근,3017063000,둔산1동,6381.68,3190.84,2022-11-15
107,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,4,저녁,3017063000,둔산1동,8560.31,2140.09,2022-11-15
108,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,4,저녁,3017063000,둔산1동,9657.31,2414.34,2022-11-15
109,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,5,야간,3017063000,둔산1동,5074.1,724.87,2022-11-15
110,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,5,야간,3017063000,둔산1동,6589.69,941.39,2022-11-15
111,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,1,출근,3017064000,둔산2동,47394.47,23697.24,2022-11-15
1481,2021,06월,2,한민시장 주변 상권,f,여성,1,출근,3017057500,내동,5014.82,2507.41,2022-11-15
112,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,1,출근,3017064000,둔산2동,52323.2,26161.6,2022-11-15
113,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,2,주간,3017064000,둔산2동,410573.43,45619.27,2022-11-15
114,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,2,주간,3017064000,둔산2동,388542.06,43171.34,2022-11-15
115,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,3,퇴근,3017064000,둔산2동,119345.28,59672.64,2022-11-15
116,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,3,퇴근,3017064000,둔산2동,112645.95,56322.98,2022-11-15
117,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,4,저녁,3017064000,둔산2동,241659.44,60414.86,2022-11-15
118,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,4,저녁,3017064000,둔산2동,234195.33,58548.83,2022-11-15
119,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,f,여성,5,야간,3017064000,둔산2동,67081.86,9583.12,2022-11-15
120,2021,01월,6,사학연금회관 뒤편(토요코인호텔) 주변 상권,m,남성,5,야간,3017064000,둔산2동,77693.18,11099.02,2022-11-15
121,2021,01월,7,대주프라자 주변 상권,f,여성,1,출근,3017059600,관저1동,117372.41,58686.21,2022-11-15
122,2021,01월,7,대주프라자 주변 상권,m,남성,1,출근,3017059600,관저1동,113046.08,56523.04,2022-11-15
123,2021,01월,7,대주프라자 주변 상권,f,여성,2,주간,3017059600,관저1동,962945.68,106993.97,2022-11-15
124,2021,01월,7,대주프라자 주변 상권,m,남성,2,주간,3017059600,관저1동,828541.72,92060.19,2022-11-15
125,2021,01월,7,대주프라자 주변 상권,f,여성,3,퇴근,3017059600,관저1동,251203.73,125601.87,2022-11-15
126,2021,01월,7,대주프라자 주변 상권,m,남성,3,퇴근,3017059600,관저1동,231289.53,115644.77,2022-11-15
127,2021,01월,7,대주프라자 주변 상권,f,여성,4,저녁,3017059600,관저1동,491199.77,122799.96,2022-11-15
128,2021,01월,7,대주프라자 주변 상권,m,남성,4,저녁,3017059600,관저1동,467510.61,116877.66,2022-11-15
129,2021,01월,7,대주프라자 주변 상권,f,여성,5,야간,3017059600,관저1동,207913.5,29701.93,2022-11-15
130,2021,01월,7,대주프라자 주변 상권,m,남성,5,야간,3017059600,관저1동,218148.03,31164.01,2022-11-15
131,2021,01월,7,대주프라자 주변 상권,f,여성,1,출근,3017059700,관저2동,81274.23,40637.12,2022-11-15
132,2021,01월,7,대주프라자 주변 상권,m,남성,1,출근,3017059700,관저2동,83068.29,41534.15,2022-11-15
133,2021,01월,7,대주프라자 주변 상권,f,여성,2,주간,3017059700,관저2동,729943.59,81104.85,2022-11-15
